model,horizon,R2_mean,R2_std,RMSE_mean
cgm,30,0.556051852642708,0.007398607092242212,29.798065902487995
cgm,60,0.3653016214565865,0.024708438155063787,45.03105345229251
cgm,120,0.22618595085984683,0.01786626218389477,49.32334737790938
cgm_dyn,30,0.5289987746125567,0.00944812022145027,30.6921356647264
cgm_dyn,60,0.3239061808645246,0.018739017342246245,46.48003877367403
cgm_dyn,120,0.16720046502298952,0.02003412967788715,51.16840721652795
cgm_meal,30,0.6103855642851971,0.008237326379584868,27.914578710382454
cgm_meal,60,0.4924948421840445,0.017347579597720236,40.26845847526435
cgm_meal,120,0.3567270879266542,0.0187314635495795,44.96939848780959
cgm_person,30,0.5594260664140257,0.005245957215250529,29.685055397170686
cgm_person,60,0.34581033863729993,0.04137142663296704,45.70562397545312
cgm_person,120,0.27708307192637915,0.04064119584359423,47.660380331802784
cgm_person_meal,30,0.6345360085963394,0.00968951211786879,27.034835431809164
cgm_person_meal,60,0.5272548239268438,0.036077037278870364,38.846142764568135
cgm_person_meal,120,0.43526431745540217,0.0378895754191167,42.11885698540004
cgm_static,30,0.6413884993485846,0.010598748283972718,26.77966037306876
cgm_static,60,0.549339866586271,0.04320288437012565,37.91517373923848
cgm_static,120,0.458604769575116,0.02885041640130161,41.24625430862901
dyn,30,-0.18668914064883607,0.05662464539402035,48.70738260496039
dyn,60,-0.22451674080954473,0.048391209755874416,62.54713298369807
dyn,120,-0.22449456829532086,0.04820641388863681,62.03878110784378
full,30,0.6200994606871884,0.009002270826272462,27.564097297114966
full,60,0.5213785951424491,0.04464305241626375,39.07574055867778
full,120,0.40495771027222444,0.02453903575855021,43.24675830319086
meal,30,0.04042105429558303,0.025186438659396602,43.806958769029876
meal,60,0.051036144435578495,0.03181332156780299,55.06451319548311
meal,120,0.036041237239975196,0.028474110763320067,55.048780404246656
persistence_1min,30,0.409891511536475,8.901587530832624e-17,34.355884369341474
persistence_1min,60,-0.02623640156504825,0.0,57.269476950138
persistence_1min,120,-0.0841335860820262,1.0143948225425741e-16,58.384956576466905
persistence_5min,30,0.40558358115421644,0.0,34.48105934032634
persistence_5min,60,-0.02359610066515641,7.827429102573778e-17,57.19575805164105
persistence_5min,120,-0.08382131977725482,0.0,58.37654757231034
person,30,0.15510452038505015,0.10786400827340893,41.04054989169272
person,60,0.19092379482720817,0.10002048239868531,50.76982468400751
person,120,0.29259835382168453,0.055147410234895326,47.13203921738769
static_all,30,0.25637599102664366,0.04614730517069995,38.55037986469766
static_all,60,0.3526823070257779,0.08450556871718769,45.40247860261327
static_all,120,0.37895776858504904,0.033984609567275996,44.17534339161321
