model,horizon,R2_mean,R2_std,RMSE_mean
cnn__concat,30,0.5641291137562643,0.02630660272660609,29.514458521688816
cnn__concat,60,0.5138150346580382,0.04022153669632018,39.3879929416927
cnn__concat,120,0.4351303060969201,0.03827490678152527,42.12149881307563
cnn__concat+attnpool,30,0.5762656552019549,0.023900671212621495,29.10179191299458
cnn__concat+attnpool,60,0.508206857795714,0.03091689928009083,39.627197288753244
cnn__concat+attnpool,120,0.43844893214597264,0.03507282015725777,42.00093262702282
cnn_gru__coattn,30,0.5602175663482455,0.023110583057618848,29.649388149827963
cnn_gru__coattn,60,0.5208549958661328,0.03032291957268633,39.114091634771626
cnn_gru__coattn,120,0.44872840246782036,0.03511040595056264,41.61398086207669
cnn_gru__coattn_ctl,30,0.5456503976077449,0.023303574206475212,30.136709066311024
cnn_gru__coattn_ctl,60,0.5154210184246042,0.03787608361335359,39.32601240317562
cnn_gru__coattn_ctl,120,0.45715113899817533,0.043194720160145375,41.28446485860783
cnn_gru__concat,30,0.5591747876234979,0.021121714298200506,29.68612550769758
cnn_gru__concat,60,0.5107053809717602,0.037309383539904185,39.517868725235495
cnn_gru__concat,120,0.4441504096880473,0.03383823804489943,41.787928511325525
cnn_gru__concat+attnpool,30,0.5769499290901581,0.02109650555403737,29.080673564079543
cnn_gru__concat+attnpool,60,0.5217029215864083,0.0354803687677645,39.07302645838988
cnn_gru__concat+attnpool,120,0.46280116711942404,0.027704848285573572,41.08597815685099
cnn_gru__xattn,30,0.5458105121214198,0.033985817473493045,30.12168721199568
cnn_gru__xattn,60,0.5106079415416488,0.046748025874552665,39.50861428975339
cnn_gru__xattn,120,0.44521241374709153,0.0477993662965936,41.73122008312978
cnn_sa__coattn,30,0.6196006968064869,0.0209376468825856,27.574094890178745
cnn_sa__coattn,60,0.5471191354885687,0.032442249937119035,38.02221220351101
cnn_sa__coattn,120,0.47415916631365945,0.027872161050224935,40.6487102875137
cnn_sa__concat,30,0.6083026104548865,0.02580101538337933,27.976787287224166
cnn_sa__concat,60,0.527651696239884,0.03901109945830878,38.82347807629525
cnn_sa__concat,120,0.4603913720371936,0.03501878868875301,41.1708339036595
dl_current_binned,30,0.6062760221607627,0.027542216922366664,28.047050205900014
dl_current_binned,60,0.5203728968941761,0.03419495995593292,39.1284151201621
dl_current_binned,120,0.4457491384790727,0.04654142794823823,41.71256603050276
dl_current_highres,30,0.6161807054981454,0.023976864214669658,27.69541409342777
dl_current_highres,60,0.5216619609329123,0.03035029435027427,39.08111683785819
dl_current_highres,120,0.4407699960500834,0.03742336477051605,41.911405264092856
persistence_5min,30,0.4055835821950724,6.63485160886875e-17,34.48105931013722
persistence_5min,60,-0.0235960990317947,5.730967097535312e-17,57.195758006007146
persistence_5min,120,-0.08382131714056573,0.0,58.37654750130196
rf_highres,30,0.5977947619899703,0.015485400593396054,28.358519825342942
rf_highres,60,0.48272682062658684,0.03499374527828254,40.63820360521052
rf_highres,120,0.381268366802228,0.0371212837070482,44.08946228559398
sa__concat,30,0.6134043398483996,0.019633576296711638,27.799270980513644
sa__concat,60,0.5373960961096204,0.028768492349896525,38.433752604844884
sa__concat,120,0.4654251757727862,0.035225307218620466,40.97752071332217
