model,seed,horizon,R2,RMSE
cnn__concat,0,30,0.5786126927731381,29.031931228126645
cnn__concat,1,30,0.5653478588482972,29.48533817256345
cnn__concat,2,30,0.5960569797810639,28.424658495647638
cnn__concat,3,30,0.5351176943284885,30.49346031120889
cnn__concat,4,30,0.583667197218501,28.857288184204275
cnn__concat,5,30,0.5282793261546079,30.716919289826784
cnn__concat,6,30,0.5688361647211735,29.366782361409346
cnn__concat,7,30,0.5770324853506202,29.086315334570543
cnn__concat,8,30,0.5443898114439369,30.187831357401716
cnn__concat,9,30,0.49982417041833205,31.629807735400018
cnn__concat,10,30,0.5712869244937044,29.28320219260541
cnn__concat,11,30,0.5787779045722754,29.026239447988665
cnn__concat,12,30,0.5773752895995483,29.074526091605268
cnn__concat,13,30,0.5650294130767173,29.496137339547964
cnn__concat,14,30,0.592302793563559,28.556440283225623
cnn__concat+attnpool,0,30,0.5687213771771837,29.370691219501293
cnn__concat+attnpool,1,30,0.5676967009127626,29.405561479474464
cnn__concat+attnpool,2,30,0.5581882832019064,29.727187064633693
cnn__concat+attnpool,3,30,0.5519455347389302,29.936471225261602
cnn__concat+attnpool,4,30,0.582094460406603,28.91174238336668
cnn__concat+attnpool,5,30,0.5930766975230182,28.529324031844133
cnn__concat+attnpool,6,30,0.5905856822912894,28.616513130234896
cnn__concat+attnpool,7,30,0.6051641357140127,28.10240566159127
cnn__concat+attnpool,8,30,0.5301423337142734,30.65620277936394
cnn__concat+attnpool,9,30,0.5758393192367404,29.12731182253687
cnn__concat+attnpool,10,30,0.6254442140284859,27.3711759593893
cnn__concat+attnpool,11,30,0.5523036670759682,29.92450464254402
cnn__concat+attnpool,12,30,0.5744998739116864,29.173265739647828
cnn__concat+attnpool,13,30,0.5710150375137124,29.29248632685029
cnn__concat+attnpool,14,30,0.597267510582752,28.382035228678415
cnn_gru__coattn,0,30,0.5521368313670281,29.930079862341515
cnn_gru__coattn,1,30,0.5667166230696121,29.438875386011414
cnn_gru__coattn,2,30,0.5816584809152302,28.926819523700864
cnn_gru__coattn,3,30,0.5228716558133297,30.892482542829306
cnn_gru__coattn,4,30,0.5747844206437887,29.163509519608954
cnn_gru__coattn,5,30,0.535045900431429,30.495814842459744
cnn_gru__coattn,6,30,0.593458645722126,28.51593172664406
cnn_gru__coattn,7,30,0.584543743425419,28.826894140975867
cnn_gru__coattn,8,30,0.5156248404944821,31.126202095079673
cnn_gru__coattn,9,30,0.5707555529564754,29.301344211672664
cnn_gru__coattn,10,30,0.5527454856013974,29.90973518492489
cnn_gru__coattn,11,30,0.5821598143616905,28.909481620572237
cnn_gru__coattn,12,30,0.5549168367469091,29.83704329306822
cnn_gru__coattn,13,30,0.5701164703387522,29.3231488209211
cnn_gru__coattn,14,30,0.5457281933360121,30.143459476608943
cnn_gru__coattn_ctl,0,30,0.5295701013674858,30.674864955372506
cnn_gru__coattn_ctl,1,30,0.5549047203255302,29.837449414618902
cnn_gru__coattn_ctl,2,30,0.5336480165495658,30.54162325094901
cnn_gru__coattn_ctl,3,30,0.5187403739990653,31.025937698671786
cnn_gru__coattn_ctl,4,30,0.5699977036976625,29.32719918705957
cnn_gru__coattn_ctl,5,30,0.520180687407561,30.979475709500385
cnn_gru__coattn_ctl,6,30,0.5703792468007256,29.314185217222185
cnn_gru__coattn_ctl,7,30,0.5420723381034441,30.264509578131594
cnn_gru__coattn_ctl,8,30,0.5234499691033696,30.87375492971403
cnn_gru__coattn_ctl,9,30,0.5114665967743499,31.259522039143445
cnn_gru__coattn_ctl,10,30,0.5411429612181371,30.29520534216755
cnn_gru__coattn_ctl,11,30,0.5721642622624037,29.253223614688313
cnn_gru__coattn_ctl,12,30,0.5517722954933757,29.94225810038861
cnn_gru__coattn_ctl,13,30,0.5906086237284632,28.615711359135627
cnn_gru__coattn_ctl,14,30,0.554658067285035,29.84571559790183
cnn_gru__concat,0,30,0.5610942211657902,29.629263137632805
cnn_gru__concat,1,30,0.5649980630799991,29.497200270209778
cnn_gru__concat,2,30,0.530955296210907,30.629670134874434
cnn_gru__concat,3,30,0.5304375637518606,30.646570017453133
cnn_gru__concat,4,30,0.5673525508965567,29.417263808838186
cnn_gru__concat,5,30,0.5393650845660058,30.353839145570785
cnn_gru__concat,6,30,0.5806298667803534,28.96236018425186
cnn_gru__concat,7,30,0.5656586818379391,29.474793694439757
cnn_gru__concat,8,30,0.5202762204950453,30.976391514873214
cnn_gru__concat,9,30,0.5794403266549023,29.003406852574038
cnn_gru__concat,10,30,0.5804609003596677,28.968194139898284
cnn_gru__concat,11,30,0.5803196897221852,28.9730688619592
cnn_gru__concat,12,30,0.5696581529374183,29.338775994667753
cnn_gru__concat,13,30,0.5399200189842188,30.33554975223729
cnn_gru__concat,14,30,0.5770551769096197,29.085535105983173
cnn_gru__concat+attnpool,0,30,0.5610509306758142,29.630724309658856
cnn_gru__concat+attnpool,1,30,0.5531748793601681,29.895374080423935
cnn_gru__concat+attnpool,2,30,0.5626636689689679,29.576241248891588
cnn_gru__concat+attnpool,3,30,0.5486084787495641,30.04774604518114
cnn_gru__concat+attnpool,4,30,0.5811635689111616,28.943925163383824
cnn_gru__concat+attnpool,5,30,0.6102710324879261,27.92007270895505
cnn_gru__concat+attnpool,6,30,0.5939852015833381,28.4974587029949
cnn_gru__concat+attnpool,7,30,0.5885171146439927,28.68871457506069
cnn_gru__concat+attnpool,8,30,0.5452607070509863,30.15896564511128
cnn_gru__concat+attnpool,9,30,0.5636850861248233,29.54168278931307
cnn_gru__concat+attnpool,10,30,0.5888725798493986,28.676320325481377
cnn_gru__concat+attnpool,11,30,0.6127452708895837,27.83130472752848
cnn_gru__concat+attnpool,12,30,0.5764497715639618,29.10634425263976
cnn_gru__concat+attnpool,13,30,0.5751546539860347,29.150810484765966
cnn_gru__concat+attnpool,14,30,0.5926459915066493,28.544418401803277
cnn_gru__xattn,0,30,0.547344410899806,30.0897891871454
cnn_gru__xattn,1,30,0.5352422743681253,30.48937418985137
cnn_gru__xattn,2,30,0.5500419116895692,29.999998496112205
cnn_gru__xattn,3,30,0.45701312003317673,32.95564905899151
