model,t,w,w_lo,w_hi
cnn__concat+attnpool,0,0.015116665957612265,0.01415702339869688,0.016132079843034865
cnn__concat+attnpool,1,0.01477375301940124,0.014423876119679746,0.015113985198875182
cnn__concat+attnpool,2,0.014928223974472434,0.014487280692502512,0.015328329437853824
cnn__concat+attnpool,3,0.015197266503614455,0.01467638496250027,0.015674080302644687
cnn__concat+attnpool,4,0.015172543005878059,0.01466081044248494,0.01564164400091023
cnn__concat+attnpool,5,0.015158856901635633,0.01465574967836381,0.015619452156563064
cnn__concat+attnpool,6,0.015153419529324575,0.014662513786782416,0.015607800418315897
cnn__concat+attnpool,7,0.015151910594216864,0.014671204237638825,0.015605318394086925
cnn__concat+attnpool,8,0.015154125699744432,0.014679355896920591,0.015608198083056217
cnn__concat+attnpool,9,0.015158839339978096,0.014688006976260042,0.015611885167420281
cnn__concat+attnpool,10,0.015168647275385175,0.014700020474571338,0.015619183132990521
cnn__concat+attnpool,11,0.015182195527900693,0.01471602475101294,0.01562912802869303
cnn__concat+attnpool,12,0.015199277442175975,0.01473596672842021,0.015646179453498853
cnn__concat+attnpool,13,0.01521978671920409,0.014755761205506276,0.015666111960510595
cnn__concat+attnpool,14,0.015245865965615188,0.014787578355614788,0.01568529973701403
cnn__concat+attnpool,15,0.015277011540525739,0.014821707250760935,0.01571072245228434
cnn__concat+attnpool,16,0.015314404676962394,0.014866397301398285,0.01573492063123165
cnn__concat+attnpool,17,0.01535674182588536,0.014919900916192346,0.015768373229608248
cnn__concat+attnpool,18,0.015400990719014237,0.01497512760989518,0.01580125603181848
cnn__concat+attnpool,19,0.015441959695523916,0.015024432377122943,0.015834996296573436
cnn__concat+attnpool,20,0.015478451467542897,0.01506335930765436,0.015864548411128904
cnn__concat+attnpool,21,0.015510202548966777,0.01509969287366832,0.01589035641610994
cnn__concat+attnpool,22,0.015539490787864187,0.01513231845111905,0.015916341200044582
cnn__concat+attnpool,23,0.015563979764213219,0.01515873947492303,0.015941489043312364
cnn__concat+attnpool,24,0.015587155959196785,0.015183945091305858,0.015965099970627953
cnn__concat+attnpool,25,0.015611226247462577,0.015210693592127499,0.01598432485796566
cnn__concat+attnpool,26,0.015635942104578315,0.015236991883134206,0.01600261346275066
cnn__concat+attnpool,27,0.0156640122067908,0.015272241483382541,0.01602430727929075
cnn__concat+attnpool,28,0.015697062059408545,0.01531331391062713,0.01605144986598873
