kind,horizon,protocol,increment,estimate,lo,hi,level_preserved,leakage
within_arm,30,global,CGM adds beyond context,0.3850125083219409,0.28216689962195285,0.5512856570014285,True,False
within_arm,30,global,context adds beyond CGM,0.08533664670587655,0.05053196619666506,0.12218926408592984,True,False
within_arm,30,subject_scale,CGM adds beyond context,0.3438424861734743,0.25486163841615944,0.4839360662068239,True,True
within_arm,30,subject_scale,context adds beyond CGM,0.11499683140909908,0.05803150583238316,0.18046484165980903,True,True
within_arm,30,premeal_center,CGM adds beyond context,0.0033852864158809568,-0.027221214747205773,0.04341401458322719,False,False
within_arm,30,premeal_center,context adds beyond CGM,0.35910922408352586,0.1771538780688213,0.5065896598546425,False,False
within_arm,30,subject_center,CGM adds beyond context,0.12716638251184895,0.0706400803904452,0.1977713059719497,False,True
within_arm,30,subject_center,context adds beyond CGM,0.3721013085730723,0.20252645191014473,0.5155574906094258,False,True
within_arm,30,subject_z,CGM adds beyond context,0.16124963052048427,0.11333088080394717,0.2349388690599817,False,True
within_arm,30,subject_z,context adds beyond CGM,0.30177177894809865,0.11793973718153267,0.4502499588293029,False,True
within_arm,60,global,CGM adds beyond context,0.19665755956049316,0.14174658004932464,0.28402601228979113,True,False
within_arm,60,global,context adds beyond CGM,0.18403824512968453,0.13564065920216475,0.24020875655518398,True,False
within_arm,60,subject_scale,CGM adds beyond context,0.17557700045398295,0.10420950604970161,0.2801457357625349,True,True
within_arm,60,subject_scale,context adds beyond CGM,0.17754658868929907,0.10207866127958376,0.24516840500261416,True,True
within_arm,60,premeal_center,CGM adds beyond context,-0.0011037013637157662,-0.019073560525656962,0.020440571171728886,False,False
within_arm,60,premeal_center,context adds beyond CGM,0.4639464868079522,0.3070345337924038,0.5964392354714246,False,False
within_arm,60,subject_center,CGM adds beyond context,0.01984028011557135,-0.01576704860925321,0.05372372296497878,False,True
within_arm,60,subject_center,context adds beyond CGM,0.440224338643349,0.2871856826198623,0.5700053728515342,False,True
within_arm,60,subject_z,CGM adds beyond context,0.023356569011930412,-0.005409052926785336,0.05512191016797486,False,True
within_arm,60,subject_z,context adds beyond CGM,0.3260056171543417,0.14593299504573826,0.48336728788451777,False,True
within_arm,120,global,CGM adds beyond context,0.07964700099006698,0.04146890204031826,0.13859290959105358,True,False
within_arm,120,global,context adds beyond CGM,0.23241881871526923,0.14062263025085991,0.328649723600219,True,False
within_arm,120,subject_scale,CGM adds beyond context,0.060622376878099786,0.015297212291042141,0.11906571700529896,True,True
within_arm,120,subject_scale,context adds beyond CGM,0.19112106225588044,0.08947368947241886,0.2814891450637923,True,True
within_arm,120,premeal_center,CGM adds beyond context,0.009067699617797515,-0.022248249776132885,0.04302107712081906,False,False
within_arm,120,premeal_center,context adds beyond CGM,0.4941168326603452,0.29452156756526726,0.6682894746969001,False,False
within_arm,120,subject_center,CGM adds beyond context,-0.004135832824190294,-0.02472994064395069,0.01946896667483533,False,True
within_arm,120,subject_center,context adds beyond CGM,0.3998795974609326,0.238872357379729,0.5374032990667232,False,True
within_arm,120,subject_z,CGM adds beyond context,0.0017272156746896135,-0.02704776667343127,0.027326527492156322,False,True
within_arm,120,subject_z,context adds beyond CGM,0.41748485470625135,0.23518219690160505,0.5919437597051671,False,True
interaction,30,global,CGM adds beyond context,0.22376287780145673,0.14717739481032863,0.3386822760540248,,
interaction,30,global,context adds beyond CGM,-0.21643513224222213,-0.36383759765586915,-0.03043866172766905,,
interaction,60,global,CGM adds beyond context,0.1733009905485627,0.1169243130137903,0.25946442893979754,,
interaction,60,global,context adds beyond CGM,-0.14196737202465715,-0.30679055943807976,0.061655092740361774,,
interaction,120,global,CGM adds beyond context,0.07791978531537737,0.04547003888384609,0.12993175788120742,,
interaction,120,global,context adds beyond CGM,-0.18506603599098215,-0.3410691972511122,-0.008265325254611993,,
interaction,30,subject_scale,CGM adds beyond context,0.1825928556529901,0.11661417262384734,0.2796045489553315,,
interaction,30,subject_center,CGM adds beyond context,-0.034083248008635283,-0.059773650809847347,-0.013776776485813557,,
interaction,30,global,CGM adds beyond context,0.38162722190605997,0.2884046809340902,0.5298596773589201,,
