horizon,increment,kind,metric,arm,config,estimate,lo,hi,perm_p,seed_pos_frac,holm_p,verdict
30,CGM adds beyond context,level,within_10,global,cgm_static,32.667031763417306,28.514152227602434,36.68422367411815,,,,
30,CGM adds beyond context,level,within_10,global,static_all,21.919496166484116,19.17480556919519,24.68334518633482,,,,
30,CGM adds beyond context,increment,within_10,global,,10.74753559693319,7.082275559572388,14.34742838541667,,,,
30,CGM adds beyond context,level,within_10,subject_z,cgm_static,24.23329682365827,20.45701635431802,27.991081293339892,,,,
30,CGM adds beyond context,level,within_10,subject_z,static_all,21.919496166484116,19.17480556919519,24.68334518633482,,,,
30,CGM adds beyond context,increment,within_10,subject_z,,2.3138006571741556,0.2734605065113533,4.353579470304867,,,,
30,CGM adds beyond context,interaction,within_10,global vs subject_z,,8.433734939759034,4.728095365030138,12.346851577664742,9.999000099990002e-05,1.0,,
30,CGM adds beyond context,level,within_20,global,cgm_static,60.21358159912376,54.62673373208399,65.44752761284555,,,,
30,CGM adds beyond context,level,within_20,global,static_all,42.634173055859804,37.772104378151695,47.36279455127982,,,,
30,CGM adds beyond context,increment,within_20,global,,17.57940854326396,12.756513239511401,22.317392537716056,,,,
30,CGM adds beyond context,level,within_20,subject_z,cgm_static,46.87842278203724,40.87968844624661,52.643560132516555,,,,
30,CGM adds beyond context,level,within_20,subject_z,static_all,42.634173055859804,37.772104378151695,47.36279455127982,,,,
30,CGM adds beyond context,increment,within_20,subject_z,,4.244249726177436,1.6521092430122304,6.786130015154039,,,,
30,CGM adds beyond context,interaction,within_20,global vs subject_z,,13.335158817086523,8.865118149944763,18.18764065223293,9.999000099990002e-05,1.0,,
30,CGM adds beyond context,level,within_30,global,cgm_static,78.27217962760132,73.18328031073821,82.93266927440887,,,,
30,CGM adds beyond context,level,within_30,global,static_all,60.295728368017535,54.59300675594595,65.61209057448235,,,,
30,CGM adds beyond context,increment,within_30,global,,17.976451259583783,13.976944180495048,22.24180348170359,,,,
30,CGM adds beyond context,level,within_30,subject_z,cgm_static,66.14184008762322,59.58688913202042,72.39899210613476,,,,
