model,horizon,R2_mean,R2_std,RMSE_mean
bilstm__concat,30,0.5623025043985083,0.026004820839965057,29.57776168095055
bilstm__concat,60,0.5163081835096375,0.03081399080693589,39.30117632009276
bilstm__concat,120,0.4547111151642639,0.02418001036293527,41.39866128747679
cnn__concat,30,0.5735946700763238,0.026637974528611427,29.19300121178826
cnn__concat,60,0.5260386749906748,0.019995407684525655,38.91290364010487
cnn__concat,120,0.4502999978043902,0.023516984055986265,41.56644131628894
cnn_gru__concat,30,0.5512411577760605,0.01951676249010895,29.954366334714308
cnn_gru__concat,60,0.4957891158331916,0.04275987829793675,40.113932401038035
cnn_gru__concat,120,0.42856896561484187,0.03428147036586434,42.37279819550217
cnn_gru__film,30,0.5151042311522838,0.021038451153801624,31.137027551912684
cnn_gru__film,60,0.49274346840350153,0.03555224407368545,40.24399286308202
cnn_gru__film,120,0.45002462579337427,0.03205128104383977,41.57071699854531
cnn_gru__film+dynablate,30,0.5214200239486468,0.021792025187194943,30.93304490571122
cnn_gru__film+dynablate,60,0.49598390207964604,0.03541483543344317,40.115255367036
cnn_gru__film+dynablate,120,0.4531522057959341,0.028354155968730334,41.45516366074073
cnn_gru__film+nodyn,30,0.49811364385647605,0.048906040446818747,31.654318711198464
cnn_gru__film+nodyn,60,0.5008845176532943,0.02823074970439881,39.92635509625928
cnn_gru__film+nodyn,120,0.4654372277568524,0.03886166876756144,40.97625272149649
cnn_gru__film+retrieval,30,0.5135027622511463,0.02015342168940259,31.188973395552797
cnn_gru__film+retrieval,60,0.4947837468015406,0.03074806354896235,40.167795087603785
cnn_gru__film+retrieval,120,0.44637970285529455,0.02589076639558319,41.71315841585601
cnn_gru__film+ssl,30,0.4965180740529992,0.05026561462607283,31.7019669940001
cnn_gru__film+ssl,60,0.4793003265580194,0.051509329656904274,40.75292728797545
cnn_gru__film+ssl,120,0.43076163274445883,0.06047720581469236,42.26061846024388
cnn_gru__film+ssl+retrieval,30,0.49910900478042886,0.03999997373557375,31.63182366705401
cnn_gru__film+ssl+retrieval,60,0.4858400005676728,0.041653387929400494,40.50991930501259
cnn_gru__film+ssl+retrieval,120,0.4391560032721432,0.0375482936075412,41.97494580116993
cnn_gru__gate,30,0.5587613963798583,0.014238109390933427,29.704834190892832
cnn_gru__gate,60,0.5118060425724009,0.01408752094795368,39.49658506307362
cnn_gru__gate,120,0.45327464836664993,0.035588962851481214,41.4444511156353
cnn_gru__xattn,30,0.5319822934899485,0.05255265888347176,30.55951201738618
cnn_gru__xattn,60,0.49448602143151305,0.06099928352249434,40.13976708423839
cnn_gru__xattn,120,0.4339928187429968,0.06760983454097606,42.12908852101199
dl_current,30,0.6273365939642283,0.019361878290710167,27.294598782302785
dl_current,60,0.5440665299951355,0.04066698323899111,38.142659816115994
dl_current,120,0.461122738849525,0.02378103230625562,41.154645963125816
gru__concat,30,0.562483414314144,0.03354024304068875,29.565275972843743
gru__concat,60,0.5232053225580503,0.04712153274312509,38.99936159643319
gru__concat,120,0.4394227304266206,0.03639771221010942,41.96637160917503
persistence_5min,30,0.40558358219507246,1.1102230246251565e-16,34.48105931013722
persistence_5min,60,-0.023596099031794715,0.0,57.195758006007146
persistence_5min,120,-0.08382131714056573,0.0,58.37654750130196
rf_highres,30,0.5953770187929758,0.012840397666190424,28.44572351316976
rf_highres,60,0.47555010152614274,0.05137910260309321,40.90274477438548
rf_highres,120,0.36064691780303565,0.05447970038178021,44.80426255468569
tcn__concat,30,0.5699419653433069,0.02157360607857476,29.321858236949936
tcn__concat,60,0.4980109261187831,0.025286708321935296,40.04420587266894
tcn__concat,120,0.40979085891419864,0.037833785341619124,43.06081576603834
