model,seed,horizon,R2,RMSE
bilstm__concat,0,30,0.5704187887804726,29.312836158101582
bilstm__concat,1,30,0.5414255250133226,30.285876024165947
bilstm__concat,2,30,0.5555204809911065,29.81680317625076
bilstm__concat,3,30,0.5407184356501198,30.309216368301488
bilstm__concat,4,30,0.6034292915575198,28.164076677932982
cnn__concat,0,30,0.5772483429288365,29.078892420731755
cnn__concat,1,30,0.5657809635890302,29.470644327399278
cnn__concat,2,30,0.6054417658174435,28.092523775860986
cnn__concat,3,30,0.5336130518477233,30.542768157343076
cnn__concat,4,30,0.5858892261985854,28.780177377606194
cnn_gru__concat,0,30,0.5633997957384469,29.551339324760214
cnn_gru__concat,1,30,0.5652377756444524,29.48907177317741
cnn_gru__concat,2,30,0.5299392849666188,30.662826094969347
cnn_gru__concat,3,30,0.5299156457339201,30.6635970981028
cnn_gru__concat,4,30,0.5677132867968646,29.404997382561774
cnn_gru__film,0,30,0.5448896404734118,30.171267971205616
cnn_gru__film,1,30,0.5119780591391256,31.243154421530576
cnn_gru__film,2,30,0.4890461170851569,31.968779297047462
cnn_gru__film,3,30,0.5049467895840831,31.467420386386927
cnn_gru__film,4,30,0.5246605494796412,30.834515683392826
cnn_gru__film+dynablate,0,30,0.5477787943536261,30.075348137375983
cnn_gru__film+dynablate,1,30,0.5206114595889315,30.965566210065685
cnn_gru__film+dynablate,2,30,0.4912679148120397,31.899198122100614
cnn_gru__film+dynablate,3,30,0.5117963695881635,31.24896976094281
cnn_gru__film+dynablate,4,30,0.5356455814004737,30.47614229807102
cnn_gru__film+nodyn,0,30,0.42449006960538205,33.92826193605608
cnn_gru__film+nodyn,1,30,0.529383951719337,30.680933394657504
cnn_gru__film+nodyn,2,30,0.5046731084375433,31.47611727955458
cnn_gru__film+nodyn,3,30,0.48075919280085444,32.22698000796654
cnn_gru__film+nodyn,4,30,0.5512618967192634,29.95930093775762
cnn_gru__film+retrieval,0,30,0.5320171879334541,30.594978534355004
cnn_gru__film+retrieval,1,30,0.5026653339637259,31.53984593451033
cnn_gru__film+retrieval,2,30,0.48644030818362594,32.0501942656195
cnn_gru__film+retrieval,3,30,0.5121471099918067,31.237742636807212
cnn_gru__film+retrieval,4,30,0.5342438711831188,30.52210560647192
cnn_gru__film+ssl,0,30,0.4361715767015635,33.582164462494895
cnn_gru__film+ssl,1,30,0.566722107665107,29.4386890635688
cnn_gru__film+ssl,2,30,0.47535979036828924,32.394105174848505
cnn_gru__film+ssl,3,30,0.4795333471213601,32.26499899134818
cnn_gru__film+ssl,4,30,0.5248035484086762,30.829877277740113
cnn_gru__film+ssl+retrieval,0,30,0.46463138861749764,32.72364359357966
cnn_gru__film+ssl+retrieval,1,30,0.5546126698193752,29.847236772107056
cnn_gru__film+ssl+retrieval,2,30,0.4658766142203926,32.685565118390905
cnn_gru__film+ssl+retrieval,3,30,0.4833977357331817,32.14499437797673
cnn_gru__film+ssl+retrieval,4,30,0.5270266155116969,30.757678473215716
cnn_gru__gate,0,30,0.5534464033198865,29.886289380933253
cnn_gru__gate,1,30,0.5670082434232988,29.42896683571843
cnn_gru__gate,2,30,0.5735272985615709,29.206587709005824
cnn_gru__gate,3,30,0.5368741471404421,30.435799468180935
cnn_gru__gate,4,30,0.5629508894540936,29.566527560625723
cnn_gru__xattn,0,30,0.5501608299765266,29.996033922223752
cnn_gru__xattn,1,30,0.5340949941878272,30.526983348308026
cnn_gru__xattn,2,30,0.5561722708168737,29.794933305975526
cnn_gru__xattn,3,30,0.4421481920777318,33.403703792236115
cnn_gru__xattn,4,30,0.5773351803907834,29.075905718187485
dl_current,0,30,0.6321604374577767,27.124667310634532
dl_current,1,30,0.6350016249701196,27.01970897268371
dl_current,2,30,0.617227320841921,27.66977753547657
dl_current,3,30,0.600529626150986,28.266854892880474
dl_current,4,30,0.6517639604003376,26.391985199838654
gru__concat,0,30,0.5837783627813878,28.853435315981567
gru__concat,1,30,0.5802189816489889,28.97654489698672
gru__concat,2,30,0.5422198950900319,30.259633153305376
gru__concat,3,30,0.5134448019641822,31.19616866876234
gru__concat,4,30,0.5927550300861291,28.540597829182712
persistence_5min,0,30,0.4055835821950724,34.48105931013722
persistence_5min,1,30,0.4055835821950725,34.48105931013722
persistence_5min,2,30,0.4055835821950723,34.48105931013722
persistence_5min,3,30,0.4055835821950725,34.48105931013722
persistence_5min,4,30,0.4055835821950723,34.48105931013722
rf_highres,0,30,0.5979222642320936,28.358954398558225
rf_highres,1,30,0.6105011374924759,27.911829163345224
rf_highres,2,30,0.5763232080990855,29.11069264437465
rf_highres,3,30,0.5905792529981769,28.61673782099498
rf_highres,4,30,0.6015592311430465,28.230403538575708
tcn__concat,0,30,0.5630842917703198,29.562014859204353
tcn__concat,1,30,0.5840636307902088,28.843545905974953
tcn__concat,2,30,0.5791990246487801,29.01172621496887
tcn__concat,3,30,0.5352895178637128,30.487824499396666
tcn__concat,4,30,0.588073361643513,28.70417970520485
bilstm__concat,0,60,0.5510348664161429,37.87963770142634
bilstm__concat,1,60,0.49122404297650646,40.323925053903196
bilstm__concat,2,60,0.5004854608786262,39.95522454603196
bilstm__concat,3,60,0.49030020119062445,40.36051879489509
bilstm__concat,4,60,0.5484963460862877,37.98657550420721
cnn__concat,0,60,0.5461636520290403,38.08457792411492
cnn__concat,1,60,0.5249996084645857,38.96247106422148
cnn__concat,2,60,0.5103478796805385,39.55882001156859
cnn__concat,3,60,0.5026477256220794,39.868653021718345
cnn__concat,4,60,0.5460345091571301,38.08999617890102
cnn_gru__concat,0,60,0.5124420303918873,39.47413652647202
cnn_gru__concat,1,60,0.5233252950819522,39.031079430084695
cnn_gru__concat,2,60,0.445926614808275,42.0807191936051
cnn_gru__concat,3,60,0.4551763933576165,41.7279901664279
cnn_gru__concat,4,60,0.5420752455262267,38.25573668860046
cnn_gru__film,0,60,0.5336689193204353,38.60527850618455
cnn_gru__film,1,60,0.4992634830724876,40.00406654173392
cnn_gru__film,2,60,0.4454780947092051,42.09774783166577
cnn_gru__film,3,60,0.4691543443517803,41.18922710403706
cnn_gru__film,4,60,0.5161525005635992,39.3236443317888
cnn_gru__film+dynablate,0,60,0.532633803527728,38.648100853181866
cnn_gru__film+dynablate,1,60,0.5059065978470035,39.737819820189266
cnn_gru__film+dynablate,2,60,0.44671182165234147,42.05089121023894
cnn_gru__film+dynablate,3,60,0.4734193635037973,41.02342832513774
cnn_gru__film+dynablate,4,60,0.5212479238673595,39.1160366264322
cnn_gru__film+nodyn,0,60,0.4832551702664438,40.6384915356214
cnn_gru__film+nodyn,1,60,0.5229804671938345,39.04519447684622
cnn_gru__film+nodyn,2,60,0.489068034479629,40.409273835387616
cnn_gru__film+nodyn,3,60,0.47122601857172586,41.108776153213334
cnn_gru__film+nodyn,4,60,0.5378928977548387,38.43003948022782
cnn_gru__film+retrieval,0,60,0.5309716537069058,38.7167642702152
cnn_gru__film+retrieval,1,60,0.4919315638773174,40.295877398557565
cnn_gru__film+retrieval,2,60,0.4517780525282352,41.85792716722453
cnn_gru__film+retrieval,3,60,0.4827689516558079,40.657605945633605
cnn_gru__film+retrieval,4,60,0.5164685122394366,39.310800656388025
cnn_gru__film+ssl,0,60,0.4297835924256721,42.68933246593953
cnn_gru__film+ssl,1,60,0.5220347833690571,39.083878559902296
cnn_gru__film+ssl,2,60,0.4444833398075151,42.13549041379674
cnn_gru__film+ssl,3,60,0.453963034895529,41.77442983152865
cnn_gru__film+ssl,4,60,0.5462368822923238,38.081505168710045
cnn_gru__film+ssl+retrieval,0,60,0.46273089037913884,41.43768118332608
cnn_gru__film+ssl+retrieval,1,60,0.5207896948481465,39.13475175803112
cnn_gru__film+ssl+retrieval,2,60,0.43627754025574006,42.445551234705306
cnn_gru__film+ssl+retrieval,3,60,0.4729472038183338,41.041816077807866
cnn_gru__film+ssl+retrieval,4,60,0.536454673537005,38.48979627119256
cnn_gru__gate,0,60,0.5305480060170118,38.73424569295486
cnn_gru__gate,1,60,0.5186590671323943,39.22165422040252
cnn_gru__gate,2,60,0.5077573642410665,39.66332538072273
cnn_gru__gate,3,60,0.49245692365123606,40.275038366898904
cnn_gru__gate,4,60,0.5096088518202957,39.588661654389064
cnn_gru__xattn,0,60,0.5270790738703819,38.87709220906167
cnn_gru__xattn,1,60,0.5051659886689122,39.7675906831363
cnn_gru__xattn,2,60,0.5210699436680001,39.12330681222305
cnn_gru__xattn,3,60,0.3868919447686556,44.26576967847158
