family,increment,with,without,seed_pos_frac,dR2_60,R2_lo,R2_hi,dRMSE_60,RMSE_lo,RMSE_hi,perm_p,holm_p,verdict,confirmatory
primary,FiLM beats concat,cnn_gru__film,cnn_gru__concat,0.4,-0.003045647429690028,-0.03215025138531245,0.01953812054877038,0.1300604620439813,-0.8442865980330521,1.0507575923611243,0.8165183481651834,1.0,INCONCLUSIVE,
primary,cross-attention beats concat,cnn_gru__xattn,cnn_gru__concat,0.4,-0.0013030944016784157,-0.04052175614445318,0.03161429456443375,0.025834683200355358,-1.2506574848665057,1.55106150044315,0.9555044495550445,1.0,INCONCLUSIVE,
primary,SSL pretraining adds,cnn_gru__film+ssl,cnn_gru__film,0.4,-0.013443141845482036,-0.04226938842831253,0.015534307507871816,0.5089344248934339,-0.5557040515324004,1.5819905485928873,0.39306069393060694,1.0,INCONCLUSIVE,
primary,retrieval adds,cnn_gru__film+retrieval,cnn_gru__film,0.6,0.0020402783980390956,-0.009016342191966092,0.016452613034402278,-0.07619777547823361,-0.5805412946798608,0.3930745670103561,0.7530246975302469,1.0,NEGLIGIBLE,
secondary,GLU gate beats concat,cnn_gru__gate,cnn_gru__concat,0.6,0.016016926739209392,-0.010109641102919136,0.037588584222038195,-0.6173473379644193,-1.6868499702886919,0.3341160119178337,0.2786721327867213,1.0,INCONCLUSIVE,
secondary,encoder: bilstm vs cnn_gru,bilstm__concat,cnn_gru__concat,0.8,0.020519067676446026,-0.010037181504949179,0.04601224940172561,-0.8127560809452774,-2.1242336527402004,0.31944860029686534,0.24097590240975902,1.0,INCONCLUSIVE,
secondary,encoder: gru vs cnn_gru,gru__concat,cnn_gru__concat,0.8,0.02741620672485884,0.01158467490097815,0.04194426970179457,-1.1145708046048497,-1.8151926403645386,-0.4164229500193,0.0047995200479952005,0.033596640335966405,ADDS(small),
secondary,encoder: cnn vs cnn_gru,cnn__concat,cnn_gru__concat,1.0,0.030249559157483296,0.005476514275581343,0.053074112616271416,-1.201028760933167,-2.368871522864877,-0.1784969754218312,0.03799620037996201,0.22797720227977203,INCONCLUSIVE,
secondary,encoder: tcn vs cnn_gru,tcn__concat,cnn_gru__concat,0.6,0.0022218102855915533,-0.02412695649954994,0.021938596078261118,-0.06972652836909674,-0.8746436815129071,0.8469179856798208,0.8623137686231377,1.0,INCONCLUSIVE,
secondary,activity adds (film vs no_dyn),cnn_gru__film,cnn_gru__film+nodyn,0.2,-0.008141049249792852,-0.02862693837961543,0.010459611803718434,0.3176377668227374,-0.38604798109267024,1.0369924073606758,0.38786121387861217,1.0,INCONCLUSIVE,
secondary,dyn used at test (frozen ablation),cnn_gru__film,cnn_gru__film+dynablate,0.2,-0.0032404336761445163,-0.00882783751519019,0.0020596853627843923,0.12873749604601697,-0.07909162038858937,0.3314854095625515,0.23777622237776222,1.0,NEGLIGIBLE,
secondary,FiLM beats 5-min persistence,cnn_gru__film,persistence_5min,1.0,0.5163395674352962,0.36228734666554563,0.6868235491974931,-16.951765142925133,-22.356174867565958,-10.918423901147108,0.00019998000199980003,0.0017998200179982003,ADDS,
secondary,paper's current DL vs RF,dl_current,rf_highres,1.0,0.06851642846899286,0.03273578703063885,0.111132893185528,-2.7600849582694877,-4.3673051742516,-1.2286826654938907,0.001999800019998,0.015998400159984,ADDS,
external,champion (confirmatory): cnn_gru__film vs rf_highres,cnn_gru__film,rf_highres,0.6,0.01719336687735875,-0.02231905861844792,0.054684565225779636,-0.6587519113034631,-2.158640625599802,0.7733045901644376,0.3975602439756024,0.3975602439756024,INCONCLUSIVE,True
external,composite (pre-declared): cnn_gru__film+ssl+retrieval vs rf_highres,cnn_gru__film+ssl+retrieval,rf_highres,0.8,0.010289899041530106,-0.035341494577982975,0.053312492961604216,-0.392825469372896,-2.046090196520715,1.2394320849269271,0.6456354364563544,0.6456354364563544,INCONCLUSIVE,False
