scenario,comparison,n_sims,ref_ddR2,mean_ddR2,bias,negligible,changes,inconclusive,raw_reject,coverage
level_dominant,global_vs_premeal,200,0.2540313431892843,0.30407181199863964,0.050040468809355365,0.0,1.0,0.0,1.0,0.795
level_dominant,global_vs_subz,200,0.1703473395023864,0.2156280183626622,0.045280678860275814,0.0,1.0,0.0,1.0,0.815
level_dominant,global_vs_subcenter,200,0.1575783571266294,0.20148885880421766,0.043910501677588254,0.0,1.0,0.0,1.0,0.82
shape_only,global_vs_premeal,200,-1.1203017467502924e-05,-0.0013272539650374519,-0.001316050947569949,1.0,0.0,0.0,0.35,0.605
shape_only,global_vs_subz,200,0.0220697417417376,0.023301073235769767,0.001231331494032168,0.025,0.52,0.455,0.705,0.915
shape_only,global_vs_subcenter,200,-1.359670308235639e-06,-0.0002787494893137787,-0.00027738981900554303,1.0,0.0,0.0,0.025,0.94
no_cgm,global_vs_premeal,200,-1.2279994176884975e-05,-0.0014320986208337994,-0.0014198186266569145,1.0,0.0,0.0,0.275,0.66
no_cgm,global_vs_subz,200,1.974354172149378e-06,0.0008998868993812456,0.0008979125452090962,1.0,0.0,0.0,0.045,0.945
no_cgm,global_vs_subcenter,200,-1.4910008964005766e-06,-0.0002862063955291864,-0.0002847153946327858,1.0,0.0,0.0,0.02,0.98
both_contribute,global_vs_premeal,200,0.110870977236824,0.13077470720286272,0.019903729966038716,0.0,1.0,0.0,1.0,0.825
both_contribute,global_vs_subz,200,0.0824581067507924,0.10255737436756152,0.020099267616769112,0.0,1.0,0.0,1.0,0.82
both_contribute,global_vs_subcenter,200,0.0688068880502248,0.08640860660533459,0.017601718555109794,0.0,1.0,0.0,1.0,0.83
