scenario,comparison,n_sims,ref_ddR2,mean_ddR2,bias,negligible,changes,inconclusive,raw_reject,coverage
level_dominant,global_vs_premeal,20,0.2540313431892843,0.2949165580175146,0.04088521482823032,0.0,1.0,0.0,1.0,0.85
level_dominant,global_vs_subz,20,0.1703473395023864,0.20663367978937003,0.03628634028698363,0.0,1.0,0.0,1.0,0.95
level_dominant,global_vs_subcenter,20,0.1575783571266294,0.19380828448890317,0.03622992736227376,0.0,1.0,0.0,1.0,0.9
shape_only,global_vs_premeal,20,-1.1203017467502924e-05,-0.001448008413056495,-0.001436805395588992,1.0,0.0,0.0,0.45,0.55
shape_only,global_vs_subz,20,0.0220697417417376,0.023477540533728136,0.0014077987919905374,0.0,0.45,0.55,0.8,1.0
shape_only,global_vs_subcenter,20,-1.359670308235639e-06,0.00014053989859885997,0.0001418995689070956,1.0,0.0,0.0,0.0,0.95
no_cgm,global_vs_premeal,20,-1.2279994176884975e-05,-0.001405131519197665,-0.00139285152502078,1.0,0.0,0.0,0.25,0.55
no_cgm,global_vs_subz,20,1.974354172149378e-06,0.0011927989976275898,0.0011908246434554405,1.0,0.0,0.0,0.0,1.0
no_cgm,global_vs_subcenter,20,-1.4910008964005766e-06,-0.00021504170601676373,-0.00021355070512036315,1.0,0.0,0.0,0.0,1.0
both_contribute,global_vs_premeal,20,0.110870977236824,0.1221734232170631,0.011302445980239106,0.0,1.0,0.0,1.0,0.8
both_contribute,global_vs_subz,20,0.0824581067507924,0.0929324127654522,0.01047430601465979,0.0,1.0,0.0,1.0,0.85
both_contribute,global_vs_subcenter,20,0.0688068880502248,0.0781371370873507,0.009330249037125912,0.0,1.0,0.0,1.0,0.85
