diag,group,increment,with,without,n_participants,dR2_60,lo,hi,perm_p,seed_pos_frac,holm_p,verdict
0,healthy,CGM adds beyond all static features,cgm_static,static_all,11,0.3189337531521297,0.16693529566712095,0.855529319482824,0.011498850114988501,1.0,0.022997700229977002,ADDS
0,healthy,static features add beyond CGM,cgm_static,cgm,11,0.3284796294714494,0.23082432624824945,0.6921144507400304,0.004299570042995701,1.0,0.012898710128987103,ADDS
0,healthy,activity/HR add beyond CGM+static,full,cgm_static,11,-0.030460796640810354,-0.07815789390890361,0.018434346261266117,0.2024797520247975,0.0,0.2024797520247975,INCONCLUSIVE
0,healthy,meal content adds beyond person+CGM,cgm_person_meal,cgm_person,11,0.16476873821891416,0.10250400730541807,0.39722403383704874,0.001999800019998,1.0,0.007999200079992,ADDS
1,prediabetes,CGM adds beyond all static features,cgm_static,static_all,16,0.4265601736754134,0.30580453548457115,0.6299606512801622,0.00039996000399960006,1.0,0.0015998400159984002,ADDS
1,prediabetes,static features add beyond CGM,cgm_static,cgm,16,0.1365669751009761,0.0034336179427314007,0.2418460854369399,0.09679032096790322,1.0,0.19358064193580643,INCONCLUSIVE
1,prediabetes,activity/HR add beyond CGM+static,full,cgm_static,16,-0.052933371450049706,-0.09893035894789672,-0.018600374965629173,0.0183981601839816,0.0,0.0551944805519448,INCONCLUSIVE
1,prediabetes,meal content adds beyond person+CGM,cgm_person_meal,cgm_person,16,0.15234488196600568,-0.03160287936877314,0.29151558611814604,0.16398360163983602,1.0,0.19358064193580643,INCONCLUSIVE
2,t2d,CGM adds beyond all static features,cgm_static,static_all,13,0.14604100580420518,0.08961693951992106,0.22409725438127737,0.0004999500049995,1.0,0.0015998400159984002,ADDS
2,t2d,static features add beyond CGM,cgm_static,cgm,13,0.25009758595551596,0.1647403100277457,0.34257432399811716,0.00039996000399960006,1.0,0.0015998400159984002,ADDS
2,t2d,activity/HR add beyond CGM+static,full,cgm_static,13,-0.028940157200259345,-0.057557974979733494,-0.004600517743407049,0.04889511048895111,0.0,0.04889511048895111,HURTS(small)
2,t2d,meal content adds beyond person+CGM,cgm_person_meal,cgm_person,13,0.28716737136857373,0.14461321087080187,0.4525281854538204,0.0036996300369963003,1.0,0.007399260073992601,ADDS
