model,horizon,NRMSE,NRMSE_sd,RMSE,RMSE_sd,R2,R2_sd,MAE,MARD
catboost@highres,30,0.07881668638372379,0.0016143144907985383,28.374007098140563,0.5811532166874738,0.5973475647530739,0.016707716598848368,21.186461086254106,14.782283565108752
cnn_sa__coattn,30,0.07625249141626878,0.0019208712029196934,27.45089690985676,0.6915136330510896,0.6230499943136732,0.018873604434041697,20.891078013964954,14.690519597735701
dl_current_binned,30,0.07779277833343007,0.0025309037156220865,28.005400200034824,0.9111253376239511,0.6075221077634736,0.025813635062355785,21.24414077710843,14.866036435777032
dl_current_highres,30,0.07676304518670435,0.0015402479073678757,27.634696267213563,0.5544892466524353,0.6180628056275983,0.015326452656126512,20.868930332694415,14.52718739409
dummy_mean,30,0.12624959725327844,0.0013244261189093204,45.44985501118024,0.4767934028073553,-0.03284801614167612,0.021689415708972464,34.90542642387733,24.950546671298685
hist_gbm@binned,30,0.08192391560417561,0.0014850756404396921,29.49260961750322,0.5346272305582892,0.5650084139865053,0.01569509312086478,22.306525325301205,15.490958209701471
hist_gbm@highres,30,0.08023109858785209,0.0009703003696331814,28.88319549162675,0.3493081330679453,0.5828659394660944,0.010086546235208797,21.722618503696605,15.022969569999116
lightgbm@highres,30,0.07957884271231053,0.0015030908334123384,28.648383376431788,0.5411127000284418,0.5895451546402131,0.01558918754868818,21.455242863088717,14.896187209020427
persistence_5min,30,0.09578072030593672,0.0,34.48105931013722,0.0,0.4055835821950724,8.392497208503151e-17,25.076538921139104,15.638283651248841
random_forest@binned,30,0.0782907819806384,0.0010717457980316356,28.184681513029822,0.3858284872913888,0.6027836953576671,0.01086601359502712,21.065480657311063,14.611797481207041
random_forest@highres,30,0.07889008079433467,0.0012108552531576488,28.400429085960482,0.43590789113675354,0.5966622107666287,0.012373736574340988,21.158311373493973,14.621255666607736
ridge@binned,30,0.07633121662268977,0.0031325733718512924,27.479237984168318,1.1277264138664653,0.62192452012156,0.031417931356182545,20.903589726725084,14.691106466207605
ridge@highres,30,0.07818992878569767,0.0017739720643717319,28.148374362851158,0.6386299431738235,0.6036929513604099,0.01792778167995267,21.43136989841183,15.040400002368603
svr_rbf@highres,30,0.08439972997988276,0.0019687535036942284,30.383902792757794,0.7087512613299222,0.5382324222795276,0.02177810561527384,22.364424848986857,15.563020190089237
xgboost@highres,30,0.08006437202635647,0.0028658158017174995,28.82317392948833,1.0316936886183,0.5841853405540665,0.030351589848529068,21.38398891333516,14.835989939319152
catboost@highres,60,0.11549475040031684,0.004427420224043297,41.277823088149226,1.582359961050246,0.46618272383480347,0.041511169168533826,31.960048140744796,20.67065546517914
cnn_sa__coattn,60,0.10677458698779356,0.003723415596501744,38.161236737737056,1.3307487114637981,0.5438499548093711,0.031907831953902344,29.641077058461118,19.261542859766287
dl_current_binned,60,0.10936811581988737,0.0038675002989725935,39.08816392649774,1.3822445832474564,0.521406871366432,0.03371558801759307,30.22157418195509,19.610569455548358
dl_current_highres,60,0.10872157585480044,0.0025927948237791845,38.85709054692184,0.9266648541935169,0.5273304687139004,0.022632726007020564,30.161045951259585,19.432631245725105
dummy_mean,60,0.16102731748707824,0.0020701209010882994,57.55116228704902,0.739861197413943,-0.036506378612079365,0.02671450719833794,44.5230726177437,29.021662770241036
hist_gbm@binned,60,0.1172203567748094,0.004801932127034827,41.8945547958606,1.7162105128935796,0.4500117941474514,0.04508905474882842,32.2504350813253,20.918351112854253
hist_gbm@highres,60,0.11612110943789218,0.0045633312402448886,41.50168380435566,1.6309345574111596,0.46034167662902,0.042787459811805276,32.20038006421139,20.995605520567718
lightgbm@highres,60,0.11635150740586893,0.004274453699725924,41.58402803670431,1.5276897261928504,0.4582902377920175,0.03994409888409408,32.299133313663745,21.021819989752114
persistence_5min,60,0.16003290146270416,1.8406120809968723e-17,57.19575800600715,6.578347465140776e-15,-0.023596099031794715,0.0,42.22343921686746,22.911787005969504
random_forest@binned,60,0.11139530954845,0.004771427190952187,39.81268295271302,1.7053080489238313,0.5032469865617533,0.043794898393717106,30.948085133488497,20.08579965015184
random_forest@highres,60,0.11341531640311008,0.0036710042048989154,40.534633390239385,1.3120168804248409,0.48542175320159225,0.03393361825646685,31.569867966456734,20.44540495564667
ridge@binned,60,0.11666742910067666,0.004223675731054696,41.69693844850036,1.5095416804996775,0.4553630709005951,0.03903801942682508,32.09032114485214,20.771497578516254
ridge@highres,60,0.11814050896309186,0.0029410215589954843,42.22341718233659,1.051121087234415,0.4418599654615099,0.027586980105875722,32.70448705243702,21.198234953598615
svr_rbf@highres,60,0.12573047475160343,0.002776889759926016,44.936070908825144,0.9924603832487681,0.3679135212170161,0.028041770136616084,34.37932052204272,22.102838389098565
xgboost@highres,60,0.11668867744125457,0.0059451940790687325,41.70453260529322,2.12481232757258,0.45455268056670356,0.056351799737257346,32.402793245481924,20.935390251459047
catboost@highres,120,0.1223051268887892,0.005406424908098432,42.708951802547695,1.8879236439043703,0.418886970250902,0.05134248883957566,31.52515494236035,19.999831484805476
cnn_sa__coattn,120,0.11696340144244746,0.002785019628935662,40.84362121147855,0.9725288884211548,0.469183085412115,0.025195335722060376,30.476825633351588,19.528022497527015
dl_current_binned,120,0.11940772325737206,0.0026703637577485686,41.69717841908813,0.9324910568030139,0.44679739003107416,0.024649497127233813,30.869339601177437,19.73597496609143
dl_current_highres,120,0.12002648108736458,0.0038517093726573096,41.913248660874714,1.3450169599498691,0.44079032141042007,0.03644693447524731,30.94769624370208,19.678454015924018
dummy_mean,120,0.16295613020678307,0.0015853987453121536,56.904282657419216,0.5536212612160161,-0.029927724927698185,0.020061921254255828,43.19597204956188,27.938357829007945
hist_gbm@binned,120,0.1247869457042986,0.0057749320102958215,43.57560296321922,2.0166063284900764,0.39496460612062645,0.05694341953903875,32.346877838033954,20.638244331139713
hist_gbm@highres,120,0.12536576421301587,0.005329209572144053,43.777726393528944,1.8609600476465311,0.3895172066257007,0.05224340373620298,32.543735985350494,20.76727284011995
lightgbm@highres,120,0.12643410017758527,0.0067360097152354215,44.15078932539779,2.3522146747868904,0.37850862588389333,0.06754747110834226,32.898799457146765,21.013122855809804
persistence_5min,120,0.1671722378597515,1.7196970083095466e-17,58.37654750130196,6.0051821629408876e-15,-0.08382131714056573,0.0,42.09204812814896,23.426205321166726
random_forest@binned,120,0.12387172080988927,0.0036538730816409047,43.2560064189193,1.2759325247119468,0.40446919418820904,0.03539337328880939,32.21567304709748,20.62413283931962
random_forest@highres,120,0.1266121201679959,0.003991031549302564,44.212953908222275,1.3936682657351023,0.37776081422766483,0.03935007436325138,32.98232616853778,21.10660438582851
ridge@binned,120,0.12582241300207303,0.004271494951248272,43.93718815624203,1.4916060891181688,0.38541332947903983,0.04215357274756389,33.08703025698247,21.276090741368627
ridge@highres,120,0.12970806520675124,0.002727568354813273,45.294057953547934,0.9524669027963071,0.34727334954435146,0.027541877260769048,34.2639338336528,22.077706850288468
svr_rbf@highres,120,0.13696140996364053,0.0031051798633240832,47.826926031195484,1.0843288461777976,0.2721848373001965,0.0329538484204444,35.519905779299016,22.442532798828452
xgboost@highres,120,0.12641642987995666,0.005932446008705278,44.14461885725018,2.0716102186574368,0.3790273483594517,0.05808222638587335,32.66935373521358,20.55074528718408
