model,horizon,R2_mean,R2_std,RMSE_mean
cnn_gru__concat@w10_1min,30,0.6021861931012021,0.026150783289798283,28.194195452219507
cnn_gru__concat@w10_1min,60,0.5319495108240695,0.030005038349885486,38.65742891488451
cnn_gru__concat@w10_1min,120,0.4541407731605309,0.030117748122912447,41.41361678679464
cnn_gru__concat@w10_5min,30,0.6167599169148121,0.018924949965177348,27.67876060361395
cnn_gru__concat@w10_5min,60,0.5286519494277425,0.03224171314333638,38.79112711587916
cnn_gru__concat@w10_5min,120,0.46624642656612364,0.03687542045327226,40.94366381558072
cnn_gru__concat@w5_1min,30,0.6250533043550188,0.01798347528472107,27.378337456466348
cnn_gru__concat@w5_1min,60,0.545687495922115,0.02679321572479325,38.089822586828774
cnn_gru__concat@w5_1min,120,0.4702025416374038,0.03854627862729112,40.79049131590252
cnn_gru__concat@w60,30,0.5699368876782364,0.026982003639128085,29.316346078263816
cnn_gru__concat@w60,60,0.518820164823463,0.03451649587854572,39.19220100832788
cnn_gru__concat@w60,120,0.4506743751186371,0.04011148196715355,41.534507037181235
dl_current@w10_1min,30,0.6254978645051357,0.022463723029981314,27.35817940980635
dl_current@w10_1min,60,0.532367046621521,0.038694217255480605,38.62979986211902
dl_current@w10_1min,120,0.4425719366835128,0.03447220745305944,41.847371099264926
dl_current@w10_5min,30,0.6222135385798249,0.025023715106154382,27.475466292841734
dl_current@w10_5min,60,0.5326854820649435,0.026635181530518547,38.631346598516366
dl_current@w10_5min,120,0.45819600119372067,0.0309577736647402,41.258839110119865
dl_current@w5_1min,30,0.6180109015806303,0.04543518545489933,27.60124010131102
dl_current@w5_1min,60,0.5211262638695151,0.05054724323896594,39.072725516686994
dl_current@w5_1min,120,0.4303808316790575,0.05458449289554576,42.27730562456445
dl_current@w60,30,0.6270162802481732,0.017074871302323533,27.3071098991341
dl_current@w60,60,0.5343581482413932,0.025720938493362627,38.56327541381181
dl_current@w60,120,0.4524637427119841,0.03532933940474933,41.472776142973316
persistence_5min,30,0.4055835821950724,6.63485160886875e-17,34.48105931013722
persistence_5min,60,-0.0235960990317947,5.730967097535312e-17,57.195758006007146
persistence_5min,120,-0.08382131714056573,0.0,58.37654750130196
rf_highres@w10_1min,30,0.6162977206782766,0.012138272781108204,27.700128893852977
rf_highres@w10_1min,60,0.5023797136171563,0.041737188076481135,39.846587189645426
rf_highres@w10_1min,120,0.4363759343511338,0.036929311983931255,42.07682765990253
rf_highres@w60,30,0.598496738828567,0.014286364704058432,28.3344735952643
rf_highres@w60,60,0.4829942091860698,0.034103835229932676,40.62859776467047
rf_highres@w60,120,0.38435292917842295,0.03560709280181496,43.98063834705267
sa__concat@w10_1min,30,0.6353500309752859,0.016528143546816566,27.000392200262443
sa__concat@w10_1min,60,0.5415747931062888,0.02358564244214875,38.264935417217366
sa__concat@w10_1min,120,0.4735104764575517,0.03590268881817999,40.665754043778264
sa__concat@w10_5min,30,0.6351713045940848,0.020474564463294504,27.003682848114398
sa__concat@w10_5min,60,0.5464088065264396,0.03686967809723269,38.046007966484304
sa__concat@w10_5min,120,0.47631055126559485,0.04166570269661709,40.54977346794692
sa__concat@w5_1min,30,0.6240780538019031,0.03298463525858045,27.398486228916397
sa__concat@w5_1min,60,0.5393309424492673,0.04100795889296782,38.33672660605211
sa__concat@w5_1min,120,0.46707786564337733,0.04467182848539815,40.90295582994476
sa__concat@w60,30,0.6112106219963763,0.028294058469640268,27.869928310336014
sa__concat@w60,60,0.5390039959927592,0.039055546913577786,38.35346619977732
sa__concat@w60,120,0.46332452419835446,0.036809310662591306,41.05609712868597
