model,seed,horizon,R2,RMSE
cnn_gru__concat@w10_1min,0,30,0.6063034876840493,28.061829733740254
cnn_gru__concat@w10_1min,1,30,0.5898838432666038,28.641030574827365
cnn_gru__concat@w10_1min,2,30,0.6137588478538938,27.794858882361474
cnn_gru__concat@w10_1min,3,30,0.5433964867058714,30.220721308199128
cnn_gru__concat@w10_1min,4,30,0.6130758902304188,27.81942168035846
cnn_gru__concat@w10_1min,5,30,0.5946966591018907,28.47247978480204
cnn_gru__concat@w10_1min,6,30,0.617276875590344,27.66798637675365
cnn_gru__concat@w10_1min,7,30,0.6078479403466577,28.00673303460237
cnn_gru__concat@w10_1min,8,30,0.6145253898247995,27.76726406583881
cnn_gru__concat@w10_1min,9,30,0.5885333414145985,28.688148901740462
cnn_gru__concat@w10_1min,10,30,0.6233406950232185,27.447927114015705
cnn_gru__concat@w10_1min,11,30,0.6439420159472747,26.686742537972126
cnn_gru__concat@w10_1min,12,30,0.5657579979424074,29.471423661557587
cnn_gru__concat@w10_1min,13,30,0.577786329799888,29.060383868075082
cnn_gru__concat@w10_1min,14,30,0.6326670957861165,27.10598025844807
cnn_gru__concat@w10_5min,0,30,0.6025355168919475,28.19579633163506
cnn_gru__concat@w10_5min,1,30,0.6088008296406651,27.972685594332216
cnn_gru__concat@w10_5min,2,30,0.6244584018698132,27.407172075352033
cnn_gru__concat@w10_5min,3,30,0.6053097769326357,28.097222183498364
cnn_gru__concat@w10_5min,4,30,0.6276059532736488,27.292075637981984
cnn_gru__concat@w10_5min,5,30,0.6187833029132102,27.61348104035314
cnn_gru__concat@w10_5min,6,30,0.6420162811811528,26.75881266390837
cnn_gru__concat@w10_5min,7,30,0.6541243038632205,26.30239070168501
cnn_gru__concat@w10_5min,8,30,0.5862302298323467,28.768325275574337
cnn_gru__concat@w10_5min,9,30,0.6176795825976202,27.65342621068008
cnn_gru__concat@w10_5min,10,30,0.6248552657967896,27.392686605391635
cnn_gru__concat@w10_5min,11,30,0.6239122657640146,27.42709344809547
cnn_gru__concat@w10_5min,12,30,0.5867171800328939,28.75139210791558
cnn_gru__concat@w10_5min,13,30,0.599403832043591,28.30665793148478
cnn_gru__concat@w10_5min,14,30,0.6289660310886322,27.24219124632115
cnn_gru__concat@w5_1min,0,30,0.6333122303189139,27.082167133596567
cnn_gru__concat@w5_1min,1,30,0.6392356538954823,26.86253575527014
cnn_gru__concat@w5_1min,2,30,0.6327520400912734,27.10284600099578
cnn_gru__concat@w5_1min,3,30,0.6028813942091973,28.183525538439884
cnn_gru__concat@w5_1min,4,30,0.6060301098893222,28.07157092982199
cnn_gru__concat@w5_1min,5,30,0.6306083832066328,27.181831690270705
cnn_gru__concat@w5_1min,6,30,0.6307565050145361,27.176381342229217
cnn_gru__concat@w5_1min,7,30,0.6442816952326302,26.674009925506994
cnn_gru__concat@w5_1min,8,30,0.5765544771207367,29.102746350728914
cnn_gru__concat@w5_1min,9,30,0.6391226540382722,26.866742414104515
cnn_gru__concat@w5_1min,10,30,0.6283872162373323,27.26343194309852
cnn_gru__concat@w5_1min,11,30,0.6282954917156913,27.266796427676535
cnn_gru__concat@w5_1min,12,30,0.63795031580828,26.91034638512496
cnn_gru__concat@w5_1min,13,30,0.6137490640701854,27.795210912646077
cnn_gru__concat@w5_1min,14,30,0.6318823344767965,27.13491909748442
cnn_gru__concat@w60,0,30,0.5734887103028505,29.20790901968537
cnn_gru__concat@w60,1,30,0.5773927345538468,29.073926021376778
cnn_gru__concat@w60,2,30,0.5655707874122671,29.477775841089
cnn_gru__concat@w60,3,30,0.5356158322424431,30.477118519052702
cnn_gru__concat@w60,4,30,0.6047548362837671,28.116967812978412
cnn_gru__concat@w60,5,30,0.5644973225496872,29.514172833145576
cnn_gru__concat@w60,6,30,0.5700742113880373,29.324590066006486
cnn_gru__concat@w60,7,30,0.5696885109472811,29.33774113997557
cnn_gru__concat@w60,8,30,0.49280142811615735,31.851083637009655
cnn_gru__concat@w60,9,30,0.5766894349078048,29.098108262674067
cnn_gru__concat@w60,10,30,0.5704264628117832,29.312574334933775
cnn_gru__concat@w60,11,30,0.6056800650533787,28.084039048543286
cnn_gru__concat@w60,12,30,0.5749032636573828,29.159433796929598
cnn_gru__concat@w60,13,30,0.5855396134658267,28.792323636896207
cnn_gru__concat@w60,14,30,0.5819301014810312,28.91742720366077
dl_current@w10_1min,0,30,0.6413629499609179,26.783219358427882
dl_current@w10_1min,1,30,0.6142202887021783,27.778250713891897
dl_current@w10_1min,2,30,0.6452163956029291,26.638941999000846
dl_current@w10_1min,3,30,0.6044078754004276,28.12930616508408
dl_current@w10_1min,4,30,0.6329771243778672,27.09453913419358
dl_current@w10_1min,5,30,0.6247578182927351,27.396244133154713
dl_current@w10_1min,6,30,0.6357636678411501,26.99148838832626
dl_current@w10_1min,7,30,0.638387658107902,26.894088134433982
dl_current@w10_1min,8,30,0.5649400796424187,29.499166114421268
dl_current@w10_1min,9,30,0.6411614511862241,26.790742323574385
dl_current@w10_1min,10,30,0.6288963877787881,27.244747814593868
dl_current@w10_1min,11,30,0.641923753256557,26.762270610879554
dl_current@w10_1min,12,30,0.5947332630659411,28.47119404514311
dl_current@w10_1min,13,30,0.628936318627751,27.243282004048634
dl_current@w10_1min,14,30,0.6447829357332486,26.65521020792123
dl_current@w10_5min,0,30,0.6409350766303374,26.79919150806976
dl_current@w10_5min,1,30,0.6191020974993153,27.601932661843303
dl_current@w10_5min,2,30,0.6534290749064301,26.328812049036912
dl_current@w10_5min,3,30,0.5966741390830146,28.402936065528632
dl_current@w10_5min,4,30,0.6321629366688233,27.12457516396214
dl_current@w10_5min,5,30,0.6096805906418548,27.94121424779866
dl_current@w10_5min,6,30,0.6375285176948402,26.926017479143027
dl_current@w10_5min,7,30,0.6213792210127465,27.519302605442274
dl_current@w10_5min,8,30,0.6046757791819088,28.11977965617076
dl_current@w10_5min,9,30,0.6226762465934115,27.47212629855575
dl_current@w10_5min,10,30,0.6313072022767838,27.156108076342058
dl_current@w10_5min,11,30,0.6462705585319803,26.599336623265746
dl_current@w10_5min,12,30,0.5518857632203344,29.938467956477805
dl_current@w10_5min,13,30,0.6240506490573015,27.42204701826806
dl_current@w10_5min,14,30,0.6414452256982914,26.78014698272109
dl_current@w5_1min,0,30,0.641174974041559,26.790237513336994
dl_current@w5_1min,1,30,0.620864696536725,27.537994854206683
dl_current@w5_1min,2,30,0.625562298946754,27.36686101087911
dl_current@w5_1min,3,30,0.5910317235554967,28.600920583090176
dl_current@w5_1min,4,30,0.6202849881815851,27.559039990157405
dl_current@w5_1min,5,30,0.6314377841886996,27.151298638002967
dl_current@w5_1min,6,30,0.6419064164226123,26.762918472096157
dl_current@w5_1min,7,30,0.6318107652375055,27.13755674750396
dl_current@w5_1min,8,30,0.46803361850464487,32.61949964577946
dl_current@w5_1min,9,30,0.6201233608570018,27.564904677971416
dl_current@w5_1min,10,30,0.6473001544203301,26.560597233921328
dl_current@w5_1min,11,30,0.6476460851022479,26.54756862095229
dl_current@w5_1min,12,30,0.5903987096085453,28.623046726236634
dl_current@w5_1min,13,30,0.6425235203623626,26.739848212491452
dl_current@w5_1min,14,30,0.6500644277433842,26.456308593039257
dl_current@w60,0,30,0.6278246629045741,27.284060047353428
dl_current@w60,1,30,0.6258830916615163,27.355135467816947
dl_current@w60,2,30,0.635565007492709,26.998848180671235
dl_current@w60,3,30,0.6043444465034489,28.1315611889305
dl_current@w60,4,30,0.6344955746155155,27.0384331618743
dl_current@w60,5,30,0.6085603010756424,27.981283767004065
dl_current@w60,6,30,0.6418326033906849,26.765676620325895
dl_current@w60,7,30,0.6254817733068934,27.36980357718324
dl_current@w60,8,30,0.6512249185574721,26.41240365406116
dl_current@w60,9,30,0.5866735581056579,28.75290942000878
dl_current@w60,10,30,0.6263461709155473,27.338200229343528
dl_current@w60,11,30,0.6429282211191469,26.724707773937386
dl_current@w60,12,30,0.6172998842641022,27.66715468773402
dl_current@w60,13,30,0.6435780944694208,26.700377112809228
dl_current@w60,14,30,0.6332058953402684,27.0860935979578
persistence_5min,0,30,0.4055835821950724,34.48105931013722
persistence_5min,1,30,0.4055835821950725,34.48105931013722
persistence_5min,2,30,0.4055835821950723,34.48105931013722
persistence_5min,3,30,0.4055835821950725,34.48105931013722
persistence_5min,4,30,0.4055835821950723,34.48105931013722
persistence_5min,5,30,0.4055835821950724,34.48105931013722
persistence_5min,6,30,0.4055835821950724,34.48105931013722
persistence_5min,7,30,0.4055835821950724,34.48105931013722
persistence_5min,8,30,0.4055835821950724,34.48105931013722
persistence_5min,9,30,0.4055835821950724,34.48105931013722
persistence_5min,10,30,0.4055835821950724,34.48105931013722
persistence_5min,11,30,0.4055835821950724,34.48105931013722
persistence_5min,12,30,0.4055835821950724,34.48105931013722
