horizon,contrast,better,worse,primary,dR2,lo,hi,dRMSE_mgdl,dRMSE_lo,dRMSE_hi,perm_p,seed_pos_frac,holm_p,verdict
30,shape beyond level (= full window vs one reading),L_S_C,L_C,True,0.0010556363957417002,-0.011734790487173982,0.01610225771318937,-0.039555483800683966,-0.5170385772772643,0.4592093077284806,0.8812118788121188,0.5,,
30,level only,L_C,C,False,0.38830626285256353,0.2880632664987671,0.5503060032305024,-11.893943645900652,-14.310247591218017,-9.512125092823684,9.999000099990002e-05,1.0,,
30,shape only,S_C,C,False,0.019363529843681816,-0.009887618676057107,0.05618979194967132,-0.5061309431180616,-1.2375690308711105,0.2911306757691349,0.20517948205179481,1.0,,
30,level statistic: last bin vs 12-bin mean,L_C,Lm_C,False,0.06846351628675071,0.03900819351300634,0.11080904731189123,-2.453305524864321,-3.477659719606067,-1.4979684149586532,9.999000099990002e-05,1.0,,
60,shape beyond level (= full window vs one reading),L_S_C,L_C,True,-0.0032235697197287444,-0.01462621460004669,0.010470298862395843,0.13253586202403067,-0.3816349029206651,0.6258076502733432,0.6064393560643936,0.25,1.0,NEGLIGIBLE
60,level only,L_C,C,False,0.19328625736631255,0.13752095040589343,0.2835412140583249,-7.345814273267693,-9.364248499772238,-5.430507465100778,9.999000099990002e-05,1.0,0.00039996000399960006,ADDS
60,shape only,S_C,C,False,-0.0009947128901314146,-0.01974976433597597,0.02096869792041375,0.042331767986345525,-0.6392321914898246,0.6995470667214984,0.9211078892110789,0.5,1.0,INCONCLUSIVE
60,level statistic: last bin vs 12-bin mean,L_C,Lm_C,False,0.032952851936017276,0.01502798694676723,0.06004401691220081,-1.3577058505877506,-2.0953179606609944,-0.651715243724837,0.0011998800119988001,1.0,0.0035996400359964006,ADDS(small)
120,shape beyond level (= full window vs one reading),L_S_C,L_C,True,-0.017127312226416544,-0.03755929699468116,0.0023414714795750584,0.6426129131540792,-0.08727129645555518,1.3290148138674198,0.09609039096090391,0.0,,
120,level only,L_C,C,False,0.08117980671875079,0.04394768029837583,0.14145506844851305,-2.9871550759156884,-4.259336829127775,-1.7607961771246505,9.999000099990002e-05,1.0,,
120,shape only,S_C,C,False,0.007074401692086581,-0.022505236468040295,0.04068009354289904,-0.25594081214464026,-1.273131866674707,0.8047820704370688,0.6464353564643536,0.75,,
120,level statistic: last bin vs 12-bin mean,L_C,Lm_C,False,0.022206108922930966,0.004045498456583364,0.04878867361041969,-0.8419615537271028,-1.5155630823760107,-0.17394029501881733,0.022297770222977704,1.0,,
