horizon,arm,increment,dR2,lo,hi,dRMSE_mgdl,dRMSE_lo,dRMSE_hi,perm_p,seed_pos_frac
30,global,CGM adds beyond context,0.35450404849353256,0.2943962732861759,0.4559608186548708,-10.790236110495758,-13.175795635936275,-8.398071052082818,9.999000099990002e-05,1.0
30,global,context adds beyond CGM,0.07634970676304544,0.01911135247613323,0.1261697644246339,-2.63850992765458,-4.855445753254977,-0.5394924246670006,0.039196080391960805,1.0
30,subject_z,CGM adds beyond context,0.12734739020439714,0.09806398122261949,0.1656894509386403,-3.5060454022729894,-4.522185430646772,-2.4546279362979653,9.999000099990002e-05,0.9333333333333333
30,subject_z,context adds beyond CGM,0.26894636316154996,0.11133251773344528,0.3916175918707941,-7.070323631543508,-11.742794041363881,-2.36865702673712,0.004999500049995001,1.0
60,global,CGM adds beyond context,0.18534802046992874,0.1541422985406647,0.23187222098976545,-7.043897506976186,-8.830900608608816,-5.253690544392354,9.999000099990002e-05,1.0
60,global,context adds beyond CGM,0.16847069351877544,0.10660041757440637,0.2273913092899126,-6.484191454789871,-10.15487191000969,-3.3161606400943255,9.999000099990002e-05,1.0
60,subject_z,CGM adds beyond context,0.03814159194013454,0.01750138438535695,0.06423275626961546,-1.3701694116862242,-2.1763963545267546,-0.5783514000003863,0.0025997400259974,0.8666666666666667
60,subject_z,context adds beyond CGM,0.33880876698520485,0.18855586572984614,0.458805428953491,-11.002208950555005,-17.08009900916226,-5.117065532035393,0.0005999400059994001,1.0
120,global,CGM adds beyond context,0.11772934103595471,0.08857291550783454,0.15809373538696878,-4.2496809798614485,-5.658647885779853,-2.843270534216007,9.999000099990002e-05,1.0
120,global,context adds beyond CGM,0.20167256456330213,0.12867939680458648,0.2668623110490662,-7.11265870813414,-10.834875403388688,-3.7021771055742247,9.999000099990002e-05,1.0
120,subject_z,CGM adds beyond context,0.030622604611466302,0.01056434594649636,0.05143741856401849,-1.0673059077466112,-1.8122300708126395,-0.32753388130771943,0.008599140085991401,0.7333333333333333
120,subject_z,context adds beyond CGM,0.3541216476397234,0.2054758857164994,0.4760767506583405,-11.204311244590114,-17.25773001719814,-5.45464573659301,0.00039996000399960006,1.0
