arm,model,horizon,R2,R2_sd,RMSE,RMSE_sd
global,cgm,30,0.5486996772326744,0.03968612561957712,30.018600824393733,1.296244439567752
global,cgm,60,0.37363503974197876,0.03606795491319166,44.72484858303672,1.273884629286284
global,cgm,120,0.2618310119188587,0.03130119291682456,48.16688799417351,1.0087414012266211
global,cgm_static,30,0.62504938399572,0.015530916685258822,27.38009089673916,0.568484287377642
global,cgm_static,60,0.5421057332607541,0.025327299875001978,38.240657128246845,1.0637341205347544
global,cgm_static,120,0.46350357648216084,0.03248674653680484,41.05422928603936,1.2408742807471338
global,persistence_5min,30,0.4055835811542164,5.745950043620392e-17,34.48105934032635,7.354816055834102e-15
global,persistence_5min,60,-0.023596100665156414,7.814786920988808e-17,57.19575805164106,7.354816055834102e-15
global,persistence_5min,120,-0.08382131977725482,0.0,58.37654757231032,2.5264622829934156e-14
global,static_all,30,0.2705453355021875,0.057336837305641805,38.17032700723491,1.4896824074277448
global,static_all,60,0.3567577127908253,0.06653640808723048,45.28455463522303,2.3317902888111246
global,static_all,120,0.3457742354462061,0.06471167978123493,45.303910265900804,2.2236086432222435
subject_z,cgm,30,0.12894636254503472,0.03044712004476927,41.73460523650544,0.7261167971705508
subject_z,cgm,60,0.05609053774575512,0.032753139919865684,54.91659417409182,0.9534561418257101
subject_z,cgm,120,0.02227519241794893,0.02655191822260327,55.44091560274431,0.754022743812083
subject_z,cgm_static,30,0.3978927257065845,0.05928535968710214,34.66428160496193,1.7052993465229966
subject_z,cgm_static,60,0.39489930473095985,0.06688607442957194,43.91438522353681,2.4040301131555464
subject_z,cgm_static,120,0.3763968400576724,0.05739230587122055,44.236604358154196,2.043197744330457
subject_z,persistence_5min,30,0.4055835811542164,5.745950043620392e-17,34.48105934032635,7.354816055834102e-15
subject_z,persistence_5min,60,-0.023596100665156414,7.814786920988808e-17,57.19575805164106,7.354816055834102e-15
subject_z,persistence_5min,120,-0.08382131977725482,0.0,58.37654757231032,2.5264622829934156e-14
subject_z,static_all,30,0.2705453355021875,0.057336837305641805,38.17032700723491,1.4896824074277448
subject_z,static_all,60,0.3567577127908253,0.06653640808723048,45.28455463522303,2.3317902888111246
subject_z,static_all,120,0.3457742354462061,0.06471167978123493,45.303910265900804,2.2236086432222435
