horizon,arm,increment,dR2,lo,hi,dRMSE_mgdl,dRMSE_lo,dRMSE_hi,perm_p,seed_pos_frac
30,global,CGM adds beyond context,0.35450404849353256,0.2943962732861759,0.4559608186548708,-10.790236110495758,-13.175795635936275,-8.398071052082818,9.999000099990002e-05,1.0
30,global,context adds beyond CGM,0.07634970676304544,0.01911135247613323,0.1261697644246339,-2.63850992765458,-4.855445753254977,-0.5394924246670006,0.039196080391960805,1.0
30,premeal_center,CGM adds beyond context,0.007166631707430403,-0.012218439476142045,0.03349603079995946,-0.193644278884976,-0.7489375677181059,0.3558959667626387,0.5171482851714828,0.6666666666666666
30,premeal_center,context adds beyond CGM,0.3041310782199017,0.1563544527711532,0.4219165340704668,-7.331801438006665,-11.616765111892201,-3.0919904484987355,0.0014998500149985001,1.0
60,global,CGM adds beyond context,0.18534802046992874,0.1541422985406647,0.23187222098976545,-7.043897506976186,-8.830900608608816,-5.253690544392354,9.999000099990002e-05,1.0
60,global,context adds beyond CGM,0.16847069351877544,0.10660041757440637,0.2273913092899126,-6.484191454789871,-10.15487191000969,-3.3161606400943255,9.999000099990002e-05,1.0
60,premeal_center,CGM adds beyond context,0.004822462201603854,-0.0159480034836415,0.03182639114092139,-0.17271225404764484,-0.9725679907209809,0.5761454338390747,0.6866313368663134,0.4666666666666667
60,premeal_center,context adds beyond CGM,0.3932664733707323,0.23719086108988313,0.5161954321476864,-12.305216827884312,-18.649849743963067,-6.0990240814196985,0.0005999400059994001,1.0
120,global,CGM adds beyond context,0.11772934103595471,0.08857291550783454,0.15809373538696878,-4.2496809798614485,-5.658647885779853,-2.843270534216007,9.999000099990002e-05,1.0
120,global,context adds beyond CGM,0.20167256456330213,0.12867939680458648,0.2668623110490662,-7.11265870813414,-10.834875403388688,-3.7021771055742247,9.999000099990002e-05,1.0
120,premeal_center,CGM adds beyond context,0.014186696762383865,-0.004483143483526821,0.039151746624673266,-0.49420849610733153,-1.2198447972587736,0.14469237175402147,0.16498350164983502,0.6
120,premeal_center,context adds beyond CGM,0.3834307142528368,0.22913874366912992,0.5127329121220778,-11.915765129433373,-18.2691405923292,-5.888701643447975,0.00039996000399960006,1.0
