arm,horizon,increment,dR2,lo,hi,dRMSE_mgdl,perm_p,seed_pos_frac,holm_p,verdict
global,30,activity adds beyond CGM+context,-0.021289038661396125,-0.03466246788939252,-0.008400375337900756,0.7844369240462048,0.006999300069993001,0.0,,
global,30,activity adds beyond context alone,-0.03095101705666435,-0.06530576788719118,0.01227014526831934,0.7940569845188188,0.14308569143085692,0.0,,
global,60,activity adds beyond CGM+context,-0.027961271443821878,-0.04454388239308699,-0.014652449725567254,1.1605668194392962,0.0007999200079992001,0.0,0.0015998400159984002,HURTS(small)
global,60,activity adds beyond context alone,-0.02933936022305829,-0.0645268292787879,-0.003420316693393559,1.0627659038078798,0.035096490350964904,0.25,0.035096490350964904,HURTS(small)
global,120,activity adds beyond CGM+context,-0.05364705930289155,-0.09210982364560463,-0.02712446063749767,2.0005039945618464,0.0004999500049995,0.0,,
global,120,activity adds beyond context alone,-0.030216240022706824,-0.07569666320457188,0.010005356484990959,1.070910210378222,0.1675832416758324,0.125,,
subject_z,30,activity adds beyond CGM+context,-0.011175637489880158,-0.023162122039855605,0.002043550726313917,0.4152084039521773,0.12298770122987701,0.0,,
subject_z,30,activity adds beyond context alone,-0.008239053288146874,-0.05018639139466944,0.04267800863779943,0.21101067484809644,0.7279272072792721,0.25,,
subject_z,60,activity adds beyond CGM+context,-0.02300805958932968,-0.03601008837944823,-0.01201102517533613,0.9582006129747871,0.0016998300169983002,0.0,0.0033996600339966003,HURTS(small)
subject_z,60,activity adds beyond context alone,-0.008856295654149802,-0.030678625443708172,0.013702121725591326,0.34514777686555753,0.43285671432856715,0.375,0.43285671432856715,INCONCLUSIVE
subject_z,120,activity adds beyond CGM+context,-0.038334183865783814,-0.08877080785062974,-0.004208636160491162,1.4308514882505863,0.032096790320967905,0.0,,
subject_z,120,activity adds beyond context alone,-0.0019465727091239073,-0.04778276513769125,0.049123215052676174,0.0674697076188826,0.934906509349065,0.375,,
premeal_center,30,activity adds beyond CGM+context,-0.012426165021886267,-0.025519228982019672,0.003273992779066929,0.4612213612498519,0.137986201379862,0.0,,
premeal_center,30,activity adds beyond context alone,-0.028837013258412304,-0.07501966445179578,0.028786092505479265,0.735632044498538,0.3164683531646835,0.0,,
premeal_center,60,activity adds beyond CGM+context,-0.02344611439319082,-0.03757992282449766,-0.011289174439534849,0.9809068490874342,0.001999800019998,0.0,0.003999600039996,HURTS(small)
premeal_center,60,activity adds beyond context alone,-0.01252238393104737,-0.03710521089657153,0.01347496531369769,0.4629552059913795,0.3280671932806719,0.25,0.3280671932806719,INCONCLUSIVE
premeal_center,120,activity adds beyond CGM+context,-0.03773638355212327,-0.06816924120640018,-0.014240999211155346,1.4121985364452474,0.007599240075992401,0.0,,
premeal_center,120,activity adds beyond context alone,-0.008695911144601366,-0.04942841531620052,0.035592969815529826,0.30807809157452226,0.6876312368763123,0.25,,
