horizon,increment,arm_1,arm_2,ddR2,lo,hi,perm_p,seed_pos_frac,holm_p,verdict
30,activity adds beyond CGM+context,global,subject_z,-0.010113401171515962,-0.022138143882777815,0.0006608139387915594,0.0862913708629137,0.0,,
30,activity adds beyond CGM+context,global,premeal_center,-0.00886287363950986,-0.020108734433801487,-0.0005504040436761119,0.048995100489951,0.0,,
30,activity adds beyond context alone,global,subject_z,-0.02271196376851748,-0.04451199592087739,-0.0030643702222397417,0.034596540345965404,0.0,,
30,activity adds beyond context alone,global,premeal_center,-0.0021140037982520497,-0.031721614827009435,0.02371498544178181,0.8823117688231177,0.5,,
60,activity adds beyond CGM+context,global,subject_z,-0.004953211854492205,-0.015461291065110839,0.0036616892467319214,0.2616738326167383,0.125,0.5233476652334766,NEGLIGIBLE
60,activity adds beyond CGM+context,global,premeal_center,-0.004515157050631058,-0.015771094229024563,0.004807867238597906,0.36546345365463456,0.25,0.5233476652334766,NEGLIGIBLE
60,activity adds beyond context alone,global,subject_z,-0.020483064568908492,-0.04925821619937,-0.0007316513697712975,0.057194280571942806,0.0,0.22877712228777122,INCONCLUSIVE
60,activity adds beyond context alone,global,premeal_center,-0.016816976292010916,-0.045525127248051744,0.005170600816004778,0.1255874412558744,0.25,0.3767623237676232,INCONCLUSIVE
120,activity adds beyond CGM+context,global,subject_z,-0.01531287543710775,-0.038039673213933325,0.009986151722810026,0.205979402059794,0.125,,
120,activity adds beyond CGM+context,global,premeal_center,-0.015910675750768294,-0.03745261231172271,0.0008275762747148804,0.0684931506849315,0.125,,
120,activity adds beyond context alone,global,subject_z,-0.02826966731358291,-0.06279527264427305,-0.0005195905217914438,0.0735926407359264,0.125,,
120,activity adds beyond context alone,global,premeal_center,-0.02152032887810546,-0.04966203033283079,0.0019462789257125126,0.0842915708429157,0.125,,
