source,label,point,lo,hi,holm_p,seed_pos,stored,d=0.010,d=0.015,d=0.020,d=0.025,d=0.030,d=0.040,d=0.050
E4 level vs shape,shape beyond level (= full window vs one reading),-0.0032235697197287,-0.0146262146000466,0.0104702988623958,1.0,0.25,NEGLIGIBLE,INCONCLUSIVE,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
E4 level vs shape,level only,0.1932862573663125,0.1375209504058934,0.2835412140583249,0.0003999600039996,1.0,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS
E4 level vs shape,shape only,-0.0009947128901314,-0.0197497643359759,0.0209686979204137,1.0,0.5,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
E4 level vs shape,level statistic: last bin vs 12-bin mean,0.0329528519360172,0.0150279869467672,0.0600440169122008,0.0035996400359964,1.0,ADDS(small),ADDS,ADDS,ADDS(small),ADDS(small),ADDS(small),ADDS(small),ADDS(small)
E1 interaction,CGM adds beyond context,0.1733009905485627,0.1169243130137903,0.2594644289397975,0.0001999800019998,1.0,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS
E1 interaction,context adds beyond CGM,-0.1419673720246571,-0.3067905594380797,0.0616550927403617,0.1907809219078092,0.0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE
E1 mechanism,CENTERING (subject scaling + leakage held fixed) / CGM adds beyond context,0.1522204314420525,0.08112016688923,0.2550671105086484,0.0005999400059994,1.0,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS
E1 mechanism,SCALING (subject centering held fixed) / CGM adds beyond context,-0.003516288896359,-0.0256819136993355,0.021756953287598,0.7954204579542046,0.125,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
E1 mechanism,causal LEVEL REMOVAL (no leakage in either arm) / CGM adds beyond context,0.1977612609242089,0.1434815581251227,0.2818088355994997,0.0005999400059994,1.0,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS,ADDS
E1 mechanism,CENTERING (subject scaling + leakage held fixed) / context adds beyond CGM,-0.1484590284650426,-0.3053981415411237,0.0353662392472495,0.2605739426057394,0.0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE
E1 mechanism,SCALING (subject centering held fixed) / context adds beyond CGM,0.1142187214890073,0.0312025929075093,0.1990552796743016,0.053994600539946,1.0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE
E1 mechanism,causal LEVEL REMOVAL (no leakage in either arm) / context adds beyond CGM,-0.2799082416782676,-0.4201793468789916,-0.1017531276930013,0.0407959204079592,0.0,HURTS,HURTS,HURTS,HURTS,HURTS,HURTS,HURTS,HURTS
