quantity,seeds,point,lo,hi,half_width,se
E4 shape beyond level (primary),1,-0.006219820756144136,-0.020019391153983906,0.009900451565333568,0.014959921359658738,0.007632753190441271
E4 level only,1,0.2213548695156727,0.12730192411910002,0.37275547534108316,0.12272677561099157,0.06261685242700599
E4 shape beyond level (primary),2,-0.006774827505258743,-0.019588826696171104,0.0073656103337686255,0.013477218514969865,0.00687625824663807
E4 level only,2,0.20529385339418146,0.12414228763376775,0.33708058157084414,0.1064691469685382,0.05432199151788914
E4 shape beyond level (primary),3,-0.006888702978133558,-0.019658614995941747,0.008371683194202862,0.014015149095072305,0.007150717667433214
E4 level only,3,0.21913129330573086,0.15510682601674783,0.32764933267472685,0.08627125332898951,0.04401675438387686
E4 shape beyond level (primary),4,-0.004758089723148727,-0.018303801056630185,0.010707738492964716,0.01450576977479745,0.00740103894041576
E4 level only,4,0.21082579482166736,0.1482523171715419,0.3165509433117074,0.08414931307008276,0.04293411190924652
E4 shape beyond level (primary),5,-0.005012366051857001,-0.01748290103112666,0.009276343977417584,0.013379622504272121,0.006826463448649605
E4 level only,5,0.1932466391947759,0.1336383602009971,0.2899561049394799,0.07815887236924139,0.03987770845148535
E4 shape beyond level (primary),6,-0.004185258225374463,-0.016392508286414264,0.010005165687455077,0.013198836986934671,0.006734224244908598
E4 level only,6,0.20650462452119422,0.15056221144363582,0.2982453980932968,0.07384159332483049,0.03767497458624501
E4 shape beyond level (primary),7,-0.0027804437321362185,-0.014602144358939409,0.01116553036943952,0.012883837364189465,0.0065735071984955205
E4 level only,7,0.20127463909197987,0.14610628659238892,0.2917581340851194,0.07282592374636525,0.03715676629964466
E4 shape beyond level (primary),8,-0.0032235697197287444,-0.01462621460004669,0.010470298862395843,0.012548256731221267,0.006402289443712032
E4 level only,8,0.19328625736631255,0.13752095040589343,0.2835412140583249,0.07301013182621573,0.03725075174083657
E1 interaction (primary DDR2),1,0.18345897657123197,0.0978013577393393,0.3214675232968903,0.11183308277877552,0.05705874374971003
E1 interaction (primary DDR2),2,0.17565232564041636,0.10113637075912929,0.29667729062707315,0.09777045993397193,0.049883804336318935
E1 interaction (primary DDR2),3,0.1978702058265768,0.13863313548795628,0.2955692165263801,0.0784680405192119,0.04003545020201578
E1 interaction (primary DDR2),4,0.18904218332873424,0.12893163575384542,0.28524710605726367,0.07815773515170912,0.039877128227797064
E1 interaction (primary DDR2),5,0.17117450560927427,0.11259724904749376,0.2623157929249819,0.07485927193874409,0.038194207909766305
E1 interaction (primary DDR2),6,0.18301683941206498,0.12746792765605866,0.26740946616014233,0.06997076925204183,0.0357000280553838
E1 interaction (primary DDR2),7,0.1786677723160711,0.12231360657897843,0.26400861414354293,0.07084750378228225,0.036147349810758005
E1 interaction (primary DDR2),8,0.1733009905485627,0.1169243130137903,0.25946442893979754,0.07127005796300362,0.03636294263999122
